nr,fusedX,fusedY,fusedZ,gyroX,gyroY,gyroZ,accX,accY,accZ,q,w,e,r,t,z,u,i,o,p,a,s,d,f,g,h,j,k,l,y,x
7729,-0.90986794,-0.125696,-1.4333377,-0.25816017,0.44421527,-1.5656724,2.735974,0.20784664,-0.1690905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7730,-0.90037334,-0.156911,-1.4249731,-0.32527184,0.41545314,-2.3518376,3.0909145,0.37633857,0.0025438394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7731,-0.8767404,-0.24513368,-1.4107918,-0.1409811,-0.094808534,-3.3190978,2.965967,0.092176765,1.1899183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7732,-0.8617533,-0.36747387,-1.4156152,-0.003561978,-0.31531826,-4.278901,1.4540286,-0.22744916,-0.34476504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7733,-0.82631874,-0.5123138,-1.3831311,-0.75563866,0.9981528,-4.782771,0.12779051,-1.8056769,-0.47180736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7734,-0.7524507,-0.66790175,-1.3094395,-0.5564342,0.5230448,-5.238704,-0.5590461,-2.2352865,2.6361656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7735,-0.6861998,-0.751089,-1.2793977,-0.046172556,-0.5060006,-5.710616,-3.1591492,-2.4495676,2.0747254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7736,-0.61032206,-0.92653155,-1.2294754,0.29364678,-0.23542345,-5.575328,-1.8620903,-4.6050973,0.96187055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7737,-0.5032499,-1.0982809,-1.1223218,0.042244393,0.829841,-5.3132725,-3.5739446,-3.72044,-1.54845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7738,-0.2209486,-1.2381697,-0.82133627,-0.19850537,1.4189322,-4.834969,-3.048118,-3.8832455,-0.78440034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7739,0.21563363,-1.3147112,-0.3648666,0.008155931,1.1302456,-3.812315,-5.3836617,-2.3282115,-1.2165537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7740,0.44307065,-1.3269681,-0.13062689,0.07526759,0.5571333,-2.5286715,-3.2113726,-1.1146505,-1.9997569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7741,0.76196164,-1.3265163,0.1932213,-0.11861054,0.25672874,-1.5134745,-2.79957,-0.30181906,-2.5181017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7742,0.9155626,-1.3088702,0.3485022,-0.30077076,-0.08415589,-1.0809771,-1.0404303,1.2871827,-0.8242039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7743,1.0195199,-1.2872444,0.4460583,-0.33912027,-0.113983296,-0.9733854,-0.91234046,1.3230957,-0.3321955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7744,1.0771788,-1.2633784,0.5085796,-0.3678824,0.1587244,-0.7358314,-0.3573346,2.0283377,0.9555858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7745,1.0982347,-1.2543539,0.5311795,-0.19211379,-0.03834952,-0.5877597,-0.57520694,1.9409494,1.1327567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7746,1.1397877,-1.2392528,0.5704907,-0.14204635,-0.007456851,-0.5632586,-0.50143564,1.420809,0.90665424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7747,1.1752313,-1.2261297,0.60625625,-0.032324117,0.10439591,-0.35979307,-1.098789,0.9886557,1.4357728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7748,1.199055,-1.2260628,0.6284903,0.22014356,-0.06391586,-0.11265171,-0.80205756,0.68025255,0.94765496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7749,1.2091576,-1.2295771,0.6370968,0.3447795,-0.21624868,0.0034621095,-0.48048636,0.42751464,0.4177882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7750,1.2262777,-1.2392361,0.6510266,0.27766782,0.007456851,0.09614012,-0.46013564,0.20245968,-0.12569559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7751,1.2261059,-1.2488793,0.65529317,0.27766782,0.040480047,0.20799288,-0.13392566,-0.021398177,0.3890578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7752,1.2302942,-1.2649225,0.65996057,0.41295642,-0.22264026,0.26658243,-0.096815534,0.030974984,-0.4177882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7753,1.2242332,-1.2800307,0.65456307,0.31069103,-0.06924219,0.29534456,-0.024839843,-0.012120646,-0.18659809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
